EPOCH: 1	Loss: 0.5874156727460519	Valid_Loss: 0.6233137823315338
EPOCH: 2	Loss: 0.46314611567803005	Valid_Loss: 0.4328316264413297
EPOCH: 3	Loss: 0.3880388250782901	Valid_Loss: 1.1765288314071949
EPOCH: 4	Loss: 0.3335313542777438	Valid_Loss: 0.32353131073527036
EPOCH: 5	Loss: 0.28921531871305267	Valid_Loss: 0.28758681170642375
EPOCH: 6	Loss: 0.2579644957878238	Valid_Loss: 0.3042590349924285
EPOCH: 7	Loss: 0.2299277083435448	Valid_Loss: 0.21737110182177274
EPOCH: 8	Loss: 0.21272840125893192	Valid_Loss: 0.21910959806060418
EPOCH: 9	Loss: 0.19822569578541954	Valid_Loss: 0.18451993440277875
EPOCH: 10	Loss: 0.180727900986826	Valid_Loss: 0.28487334221077615
EPOCH: 11	Loss: 0.17206977137743262	Valid_Loss: 0.31430922748288137
EPOCH: 12	Loss: 0.16100313108196054	Valid_Loss: 0.310095376846657
EPOCH: 13	Loss: 0.15562046550836275	Valid_Loss: 0.1316874092890066
EPOCH: 14	Loss: 0.14753962051434372	Valid_Loss: 0.19150171292523738
EPOCH: 15	Loss: 0.1421031104152622	Valid_Loss: 0.1379016273016168
EPOCH: 16	Loss: 0.13735408265454624	Valid_Loss: 0.14450654981075786
EPOCH: 17	Loss: 0.1339024131353382	Valid_Loss: 0.1711773052912031
EPOCH: 18	Loss: 0.12717391832088176	Valid_Loss: 0.20185446050141764
EPOCH: 19	Loss: 0.12475841661475162	Valid_Loss: 0.1141572513095889
EPOCH: 20	Loss: 0.12043667282598162	Valid_Loss: 0.23493755243889608
EPOCH: 21	Loss: 0.11872736903546018	Valid_Loss: 0.10792284729584935
EPOCH: 22	Loss: 0.11332703386408609	Valid_Loss: 0.10703253848405439
EPOCH: 23	Loss: 0.11109930086470678	Valid_Loss: 0.3098933250752543
EPOCH: 24	Loss: 0.11010917156709765	Valid_Loss: 0.11587323376974382
EPOCH: 25	Loss: 0.10887202668147655	Valid_Loss: 0.10239563364877541
EPOCH: 26	Loss: 0.10662666321806544	Valid_Loss: 0.10964269165393489
EPOCH: 27	Loss: 0.10256078818955229	Valid_Loss: 0.10154074573831168
EPOCH: 28	Loss: 0.10008560290120105	Valid_Loss: 0.13596806082099647
EPOCH: 29	Loss: 0.10110429800272676	Valid_Loss: 0.5307022632921913
EPOCH: 30	Loss: 0.09769812099748088	Valid_Loss: 0.3441304813790248
EPOCH: 31	Loss: 0.09621388725208559	Valid_Loss: 0.173797687190945
EPOCH: 32	Loss: 0.09423058648092497	Valid_Loss: 0.25619704204579646
EPOCH: 33	Loss: 0.09320060754125378	Valid_Loss: 0.09870849964428999
EPOCH: 34	Loss: 0.09417357900036005	Valid_Loss: 0.17909984965110198
EPOCH: 35	Loss: 0.08960582063819544	Valid_Loss: 0.1588721487355906
EPOCH: 35	Loss: 0.08617622430186526	Valid_Loss: 0.24747681491738832
EPOCH: 36	Loss: 0.08810138877904701	Valid_Loss: 0.1516851392253193
EPOCH: 37	Loss: 0.08712275438407704	Valid_Loss: 0.09174250287313952
EPOCH: 38	Loss: 0.08481002034252215	Valid_Loss: 0.19659117943020077
EPOCH: 39	Loss: 0.08494457581823238	Valid_Loss: 0.07993883154322248
EPOCH: 40	Loss: 0.08376277261951254	Valid_Loss: 0.1220542498271766
EPOCH: 41	Loss: 0.08124024730149267	Valid_Loss: 0.23515654756710375
EPOCH: 42	Loss: 0.07885206822755864	Valid_Loss: 0.4299826089432738
EPOCH: 43	Loss: 0.07831710547896939	Valid_Loss: 0.48931375338810496
EPOCH: 44	Loss: 0.08018015174866781	Valid_Loss: 0.8696618216986488
EPOCH: 45	Loss: 0.07827139812394263	Valid_Loss: 0.10309494822510942
EPOCH: 46	Loss: 0.07685856034873355	Valid_Loss: 0.1296573896646521
EPOCH: 47	Loss: 0.07478193063239301	Valid_Loss: 0.7165964740260504
EPOCH: 48	Loss: 0.07247554269399276	Valid_Loss: 0.39052333389726557
EPOCH: 49	Loss: 0.07262642063915094	Valid_Loss: 0.10034154070486694
